loss,delay,fast_recovery,md5_hash,ttc
3.5,20,1,92fc4e3b2ae88efbdefecfc585ef0c0d,0.3241152763366699
4.0,20,1,7980a4fab8399744cc5bfde8c4e6fbe3,0.28873705863952637
4.5,20,1,7980a4fab8399744cc5bfde8c4e6fbe3,0.3184170722961426
0.0,20,0,7980a4fab8399744cc5bfde8c4e6fbe3,0.3108241558074951
0.5,20,0,7980a4fab8399744cc5bfde8c4e6fbe3,0.29070019721984863
1.0,20,0,7980a4fab8399744cc5bfde8c4e6fbe3,0.3833491802215576
1.5,20,0,7980a4fab8399744cc5bfde8c4e6fbe3,0.31026244163513184
2.0,20,0,92fc4e3b2ae88efbdefecfc585ef0c0d,0.3046298027038574
2.5,20,0,7980a4fab8399744cc5bfde8c4e6fbe3,0.29637908935546875
3.0,20,0,72d184782aba181f34086e49c169f9b5,0.323375940322876
3.5,20,0,59cf3625b972d55cfc07339211e1654a,0.29990434646606445
4.0,20,0,7980a4fab8399744cc5bfde8c4e6fbe3,0.32367563247680664
4.5,20,0,7980a4fab8399744cc5bfde8c4e6fbe3,0.3084702491760254
0.0,20,1,7980a4fab8399744cc5bfde8c4e6fbe3,0.32026004791259766
0.5,20,1,7980a4fab8399744cc5bfde8c4e6fbe3,0.2958500385284424
1.0,20,1,7980a4fab8399744cc5bfde8c4e6fbe3,0.2976217269897461
1.5,20,1,7980a4fab8399744cc5bfde8c4e6fbe3,0.3079671859741211
2.0,20,1,7980a4fab8399744cc5bfde8c4e6fbe3,0.35232067108154297
2.5,20,1,7980a4fab8399744cc5bfde8c4e6fbe3,0.29537248611450195
3.0,20,1,7980a4fab8399744cc5bfde8c4e6fbe3,0.3223001956939697
3.5,20,1,7980a4fab8399744cc5bfde8c4e6fbe3,0.30113673210144043
4.0,20,1,7980a4fab8399744cc5bfde8c4e6fbe3,0.29607081413269043
4.5,20,1,7980a4fab8399744cc5bfde8c4e6fbe3,2.3129003047943115
0.0,20,0,7980a4fab8399744cc5bfde8c4e6fbe3,0.3036682605743408
0.5,20,0,7980a4fab8399744cc5bfde8c4e6fbe3,0.30534982681274414
1.0,20,0,7980a4fab8399744cc5bfde8c4e6fbe3,0.28874731063842773
1.5,20,0,7980a4fab8399744cc5bfde8c4e6fbe3,0.3029513359069824
2.0,20,0,7980a4fab8399744cc5bfde8c4e6fbe3,2.2905032634735107
2.5,20,0,8fa59189bd34a9de0ce5ff0148efeb40,1.3681933879852295
3.0,20,0,7980a4fab8399744cc5bfde8c4e6fbe3,0.30268096923828125
3.5,20,0,8fa59189bd34a9de0ce5ff0148efeb40,0.34311485290527344
4.0,20,0,7980a4fab8399744cc5bfde8c4e6fbe3,0.5327129364013672
4.5,20,0,7980a4fab8399744cc5bfde8c4e6fbe3,0.2990083694458008
